79,2,7,56,26,4
56,2,4,49,13,3
76,1,5,53,18,5
51,2,15,34,13,7
39,1,9,31,8,6
41,1,12,29,11,4
51,1,8,28,7,3
64,3,6,22,6,7
53,7,12,19,10,4
71,3,15,28,12,7
42,4,12,25,3,23
31,2,1,18,4,7
28,2,4,11,2,5
8,1,7,0,0,9
23,2,1,4,1,9
10,0,1,6,2,6
4,0,1,9,0,2
2,0,3,3,0,1
6,0,3,2,0,3
12,1,3,7,1,2
20,1,9,11,9,4
26,1,5,12,5,3
46,2,10,30,11,2
82,2,5,11,12,4
95,8,8,27,14,6
77,3,8,39,8,1
60,3,16,32,18,4
78,2,18,37,18,7
66,4,26,49,16,6
56,4,14,22,10,4
53,1,11,23,7,10
76,1,10,16,12,3
75,0,10,19,10,7
48,3,14,34,19,9
52,0,9,11,5,4
44,2,4,11,5,2
31,1,6,9,3,6
12,0,7,0,1,8
23,0,15,1,1,13
12,0,2,8,0,6
5,0,5,5,0,2
3,0,2,5,0,1
5,0,4,2,1,3
13,1,6,8,2,5
22,2,11,8,4,4
30,1,7,25,9,12
35,3,6,46,12,10
60,0,7,40,20,2
69,12,9,23,20,1
104,18,19,14,23,1
78,6,12,21,12,5
85,7,12,15,8,8
26,7,8,1,3,6
43,8,7,14,11,6
32,7,10,11,9,5
42,6,20,16,13,5
50,0,11,16,11,3
57,1,12,19,12,3
58,1,6,18,8,4
56,0,7,7,5,7
35,0,4,10,2,7
19,0,7,6,1,8
22,1,12,5,0,13
13,0,6,11,0,9
10,0,5,9,0,5
4,0,4,6,0,2
7,0,6,3,0,6
16,1,5,7,0,7
20,1,5,5,3,12
31,1,10,11,6,11
42,2,12,35,6,7
67,3,8,42,17,5
95,2,19,27,17,5
69,0,10,21,20,0
72,1,7,23,12,1
63,0,10,19,5,3
41,0,7,18,6,7
69,0,7,20,9,8
71,2,5,13,8,6
65,1,6,16,8,2
66,0,5,14,9,7
85,3,15,12,15,10
73,10,13,26,4,7
46,1,7,1,2,0
45,0,3,8,3,5
14,0,1,5,1,8
33,3,3,17,0,9
13,0,0,19,1,4
15,1,3,6,1,11
13,3,2,8,1,13
12,0,3,9,0,6
10,0,3,11,1,7
35,1,10,17,7,14
45,2,13,16,8,9
45,2,10,6,8,10
47,1,4,9,12,15
52,3,16,13,11,30
40,1,15,11,11,13
48,0,15,10,10,9
76,0,11,9,3,18
30,0,13,7,3,11
31,2,13,13,10,2
42,0,12,6,7,14
42,2,11,6,11,7
62,2,10,21,11,7
56,2,5,11,10,2
55,0,5,11,6,5
43,1,7,25,5,8
45,2,5,22,4,12
53,2,7,33,3,5
28,2,13,5,2,9
16,0,9,11,0,5
10,0,6,5,0,7
6,0,8,20,0,10
16,0,5,13,0,8
25,0,9,19,0,10
35,1,5,15,3,7
55,1,11,26,9,19
57,0,16,18,14,5
60,2,18,16,10,7
29,13,17,15,10,2
49,11,13,11,8,0
48,2,13,21,11,4
51,2,8,12,12,1
45,6,7,7,8,9
70,6,10,6,7,7
38,3,5,17,7,0
43,0,7,11,7,1
81,0,11,17,16,4
61,2,11,19,17,3
49,0,4,15,9,6
68,3,11,12,4,7
25,0,5,10,2,4
18,1,11,5,2,6
21,0,13,8,3,8
11,0,4,4,1,11
10,0,3,5,1,7
7,0,4,5,0,4
5,0,5,3,0,7
8,0,4,6,2,8
23,0,6,14,3,5
27,2,15,10,5,8
32,2,11,8,4,9
43,1,14,17,8,9
40,3,6,14,11,2
39,0,11,22,7,4
56,2,7,21,21,7
34,1,13,18,3,4
28,2,10,10,4,5
36,0,9,14,2,8
40,0,7,12,3,10
41,0,13,11,4,9
63,1,19,4,3,7
72,2,11,16,7,6
78,2,12,18,9,12
73,1,14,17,7,11
44,1,13,19,3,16
22,0,8,11,1,11
21,0,4,13,1,13
16,0,2,8,0,13
7,0,3,6,0,0
8,1,5,2,0,6
4,0,2,2,0,1
6,0,3,0,0,1
9,0,9,2,1,2
24,1,7,14,4,4
30,0,6,7,5,6
51,1,13,5,1,9
65,2,17,12,11,7
63,0,10,12,12,8
75,1,9,15,15,10
72,0,13,14,4,15
40,0,11,10,1,10
49,0,4,12,0,5
23,0,7,9,3,9
41,2,6,7,6,8
57,2,13,11,4,10
66,2,13,18,3,12
64,3,10,19,8,11
70,1,15,19,6,13
49,1,14,20,6,18
27,0,7,15,2,13
17,0,5,15,0,7
12,0,4,6,0,8
10,1,2,8,2,2
5,0,4,11,0,5
7,1,4,5,1,2
4,0,4,2,0,1
12,0,11,4,3,4
21,0,12,13,1,5
43,0,7,5,3,4
58,0,14,14,3,8
38,2,8,19,10,2
19,0,7,27,11,1
47,1,16,23,12,6
28,1,14,20,6,6
34,0,8,19,0,6
33,1,9,11,3,14
32,1,9,15,2,5
27,1,17,10,1,11
32,0,12,14,2,17
21,0,6,6,1,3
52,1,5,3,3,9
63,3,20,14,12,13
37,1,13,10,5,8
32,0,10,18,2,9
19,0,6,14,0,13
17,0,3,9,0,10
8,0,4,4,2,7
4,0,8,3,0,8
11,0,2,5,0,1
2,0,4,4,2,5
16,0,8,11,4,5
22,0,5,18,1,1
32,0,10,16,3,8
50,0,2,29,1,7
47,3,9,12,6,4
51,0,7,10,6,2
41,0,9,14,6,6
37,1,15,16,2,9
26,0,14,13,3,2
60,0,12,11,1,3
34,1,10,8,2,8
30,0,9,7,3,4
53,6,8,6,3,4
62,2,6,9,8,6
64,2,11,16,8,8
45,1,12,18,6,12
43,1,19,19,2,18
19,0,12,4,0,8
14,1,3,8,2,8
11,0,1,7,0,3
2,0,0,4,0,2
2,0,1,2,0,1
3,0,4,4,1,2
24,0,2,2,1,7
31,0,8,9,5,4
31,1,19,23,5,12
41,1,12,6,16,8
59,1,6,9,3,4
53,3,11,11,4,6
52,0,5,9,5,3
41,0,12,18,2,7
53,1,8,10,8,10
48,0,9,8,2,5
39,0,13,10,1,4
41,1,8,8,1,8
50,3,11,10,1,3
55,4,9,7,3,11
63,3,11,12,6,8
59,2,12,10,8,9
49,1,11,19,4,10
27,1,16,17,3,18
22,0,9,6,1,4
11,0,5,6,1,5
7,0,2,5,0,2
4,0,2,6,0,3
5,0,3,3,0,4
8,0,6,4,2,3
18,0,6,4,2,5
34,0,10,11,4,5
37,1,9,10,11,3
44,0,13,14,20,2
63,0,5,9,4,3
38,2,4,18,4,0
30,0,7,19,5,4
29,0,9,20,0,2
40,1,12,13,2,4
31,1,12,18,0,6
21,0,11,17,3,9
34,0,8,9,2,7
31,2,4,7,3,3
31,0,3,4,1,2
26,0,4,3,0,4
30,0,13,2,1,6
54,1,10,8,0,3
36,2,10,7,0,4
27,0,8,11,5,2
15,1,6,16,3,6
10,0,2,4,1,4
2,0,6,6,0,6
2,0,7,9,0,8
3,0,8,3,0,3
26,0,4,2,2,1
17,0,3,8,5,7
34,2,12,8,9,3
40,1,3,2,5,7
51,1,8,13,2,4
